Date,Open,High,Low,Close,Adj Close,Volume
2022-10-18,401.000000,406.700012,400.700012,404.250000,404.250000,14215544
2022-10-19,406.200012,406.950012,397.299988,399.049988,399.049988,8648435
2022-10-20,397.000000,399.899994,393.100006,398.100006,398.100006,10747183
2022-10-21,397.000000,402.250000,394.700012,398.049988,398.049988,10279618
2022-10-24,406.000000,406.000000,400.149994,401.600006,401.600006,2871205
2022-10-25,404.350006,410.500000,403.200012,404.549988,404.549988,17979661
2022-10-27,408.549988,411.700012,404.000000,407.700012,407.700012,14614841
2022-10-28,408.000000,411.200012,406.100006,409.899994,409.899994,12488938
2022-10-31,414.350006,416.299988,411.600006,412.750000,412.750000,9928218
2022-11-01,414.899994,422.399994,412.799988,421.350006,421.350006,17324893
2022-11-02,423.049988,425.100006,420.149994,422.149994,422.149994,12433578
2022-11-03,419.399994,423.299988,414.500000,416.250000,416.250000,10987519
2022-11-04,418.200012,426.000000,416.899994,425.350006,425.350006,12277023
2022-11-07,428.250000,437.500000,428.250000,435.000000,435.000000,15058076
2022-11-09,439.200012,441.200012,432.000000,433.149994,433.149994,14471443
2022-11-10,420.500000,420.549988,409.200012,412.200012,412.200012,26251660
2022-11-11,420.000000,425.500000,414.700012,423.500000,423.500000,19296401
2022-11-14,424.000000,437.700012,423.500000,433.700012,433.700012,17996083
2022-11-15,434.899994,438.500000,434.100006,437.149994,437.149994,10696024
2022-11-16,436.950012,438.200012,429.600006,431.549988,431.549988,8206169
2022-11-17,422.000000,427.549988,419.600006,423.149994,423.149994,15621809
2022-11-18,424.000000,426.450012,421.149994,423.799988,423.799988,9851962
2022-11-21,425.600006,427.600006,420.000000,421.100006,421.100006,9497812
2022-11-22,421.000000,426.399994,420.500000,424.700012,424.700012,6407614
2022-11-23,426.850006,429.299988,422.850006,424.049988,424.049988,6568241
2022-11-24,424.500000,425.250000,420.700012,423.399994,423.399994,6768613
2022-11-25,425.000000,435.149994,424.000000,433.200012,433.200012,18764073
2022-11-28,435.000000,440.350006,432.399994,433.250000,433.250000,10701208
2022-11-29,432.500000,437.899994,429.549988,433.149994,433.149994,8630105
2022-11-30,435.000000,441.000000,433.299988,439.399994,439.399994,14727892
2022-12-01,443.000000,443.600006,436.850006,438.250000,438.250000,8909310
2022-12-02,439.000000,441.149994,435.000000,435.399994,435.399994,8352658
2022-12-05,435.500000,437.500000,427.799988,428.750000,428.750000,12857807
2022-12-06,428.799988,431.350006,425.350006,427.100006,427.100006,8461831
2022-12-07,428.000000,428.000000,419.100006,420.100006,420.100006,12133315
2022-12-08,421.000000,421.399994,415.350006,417.200012,417.200012,9539923
2022-12-09,419.299988,420.950012,409.549988,413.299988,413.299988,9920219
2022-12-12,412.000000,416.899994,408.000000,414.149994,414.149994,8009229
2022-12-13,419.950012,421.500000,417.250000,418.500000,418.500000,9717894
2022-12-14,420.549988,421.350006,417.350006,417.899994,417.899994,6314883
2022-12-15,418.850006,422.799988,415.700012,416.700012,416.700012,7542601
2022-12-16,417.350006,427.799988,413.100006,421.600006,421.600006,50949198
2022-12-19,421.899994,422.850006,415.500000,418.000000,418.000000,9809103
2022-12-20,418.000000,418.000000,408.000000,410.500000,410.500000,12341042
2022-12-21,412.600006,414.399994,401.000000,402.600006,402.600006,11606059
2022-12-22,404.100006,404.700012,390.200012,394.450012,394.450012,14908929
2022-12-23,390.000000,390.000000,377.000000,378.350006,378.350006,19902886
2022-12-26,380.250000,390.700012,375.200012,384.799988,384.799988,16979026
2022-12-27,390.000000,397.450012,388.500000,394.149994,394.149994,14372461
2022-12-28,394.000000,395.899994,390.399994,391.299988,391.299988,8443917
2022-12-29,389.000000,390.000000,383.049988,385.899994,385.899994,15627403
2022-12-30,391.000000,392.200012,387.000000,387.950012,387.950012,9198673
2023-01-02,392.500000,396.000000,391.000000,394.799988,394.799988,10501357
2023-01-03,396.000000,398.350006,393.000000,393.899994,393.899994,9431220
2023-01-04,394.799988,394.799988,385.000000,385.600006,385.600006,16121049
2023-01-05,387.899994,388.750000,382.500000,386.899994,386.899994,10443908
2023-01-06,386.100006,388.399994,381.000000,382.000000,382.000000,8715469
2023-01-09,386.350006,392.700012,385.000000,389.450012,389.450012,14693099
2023-01-10,400.000000,417.750000,400.000000,412.899994,412.899994,54021379
2023-01-11,415.750000,420.000000,413.549988,418.200012,418.200012,22224361
2023-01-12,420.299988,420.500000,410.049988,412.250000,412.250000,12479034
2023-01-13,413.000000,416.350006,408.000000,411.500000,411.500000,10449630
2023-01-16,413.500000,414.899994,407.600006,413.000000,413.000000,11462140
2023-01-17,413.000000,419.450012,412.500000,415.299988,415.299988,12337969
2023-01-18,415.899994,415.950012,407.450012,408.399994,408.399994,13310316
2023-01-19,406.500000,407.799988,400.100006,400.750000,400.750000,13126520
2023-01-20,404.000000,412.500000,401.200012,403.149994,403.149994,23906114
2023-01-23,407.000000,410.950012,405.000000,408.399994,408.399994,13113183
2023-01-24,410.000000,424.000000,410.000000,422.149994,422.149994,30197475
2023-01-25,423.750000,427.250000,417.700012,419.049988,419.049988,22975581
2023-01-27,438.000000,453.399994,435.149994,445.600006,445.600006,63360467
2023-01-30,445.600006,450.000000,437.649994,443.649994,443.649994,18316743
2023-01-31,443.700012,454.799988,440.899994,452.100006,452.100006,25154475
2023-02-01,456.799988,461.500000,437.649994,446.649994,446.649994,23798589
2023-02-02,446.750000,449.200012,440.700012,444.799988,444.799988,11344554
